transaction_id,account_id,transaction_type,amount,currency,category,merchant_name,description,transaction_date,value_date,reference_number,status,channel,balance_after,initiated_by
15,524,Credit,7219.15,USD,Payroll,Publix,Credit - Payroll,2022-05-10 08:27:35,2022-05-10,TXN0000000015,Completed,Branch,52095.96,52.0
16,559,Debit,10880.0,USD,Utilities,CVS,Debit - Utilities,2022-04-09 12:57:10,2022-04-09,TXN0000000016,Completed,Online,156148.1,45.0
17,491,Debit,447.81,USD,Education,Netflix,Debit - Education,2023-11-03 17:05:54,2023-11-03,TXN0000000017,Completed,Mobile,62920.35,
18,69,Debit,12517.83,USD,Rent/Mortgage,Planet Fitness,Debit - Rent/Mortgage,2024-05-15 23:31:54,2024-05-15,TXN0000000018,Completed,Wire,110030.11,58.0
19,38,Debit,2822.02,USD,Other,Amazon,Debit - Other,2023-07-07 03:04:21,2023-07-07,TXN0000000019,Reversed,Branch,194263.76,27.0
20,323,Debit,1279.29,USD,Entertainment,ATM Cash,Debit - Entertainment,2024-07-12 18:06:09,2024-07-12,TXN0000000020,Completed,ATM,177458.54,
21,567,Debit,1797.18,USD,Dining,Trader Joe's,Debit - Dining,2024-09-18 05:21:27,2024-09-18,TXN0000000021,Completed,POS,246471.54,19.0
22,110,Credit,14085.79,USD,Shopping,Google Play,Credit - Shopping,2024-12-17 01:17:06,2024-12-17,TXN0000000022,Completed,Online,83481.09,
23,77,Debit,1127.6,USD,Loan Payment,H&M,Debit - Loan Payment,2023-04-11 18:06:17,2023-04-11,TXN0000000023,Completed,Branch,97653.91,46.0
24,141,Credit,5438.62,USD,Entertainment,Kroger,Credit - Entertainment,2023-02-15 10:05:03,2023-02-15,TXN0000000024,Completed,ATM,53968.31,14.0
25,238,Credit,4148.45,USD,Tax,Uber,Credit - Tax,2024-04-20 21:21:45,2024-04-20,TXN0000000025,Completed,POS,280498.0,
26,566,Debit,1507.44,USD,Education,Whole Foods,Debit - Education,2022-03-05 06:48:05,2022-03-05,TXN0000000026,Pending,Mobile,26983.21,
27,54,Debit,1032.14,USD,Other,Netflix,Debit - Other,2022-01-07 05:28:59,2022-01-07,TXN0000000027,Pending,ATM,140236.16,
28,555,Credit,3964.97,USD,Other,Apple,Credit - Other,2024-05-21 18:41:49,2024-05-21,TXN0000000028,Completed,Online,54723.89,59.0
29,18,Debit,3277.05,USD,Shopping,Wire Transfer,Debit - Shopping,2022-09-21 02:33:20,2022-09-21,TXN0000000029,Completed,Mobile,591.23,
30,193,Debit,8213.91,USD,Dining,Costco,Debit - Dining,2023-10-30 13:14:20,2023-10-30,TXN0000000030,Completed,Mobile,56934.01,
31,353,Debit,6068.4,USD,Other,Medical Center,Debit - Other,2023-10-02 07:26:08,2023-10-02,TXN0000000031,Completed,Online,184531.84,57.0
32,431,Debit,9725.42,USD,Rent/Mortgage,Spotify,Debit - Rent/Mortgage,2022-01-03 06:09:29,2022-01-03,TXN0000000032,Completed,Online,223782.48,45.0
33,189,Credit,14507.65,USD,Direct Deposit,Target,Credit - Direct Deposit,2022-07-25 18:02:26,2022-07-25,TXN0000000033,Completed,Online,223208.92,47.0
34,405,Debit,14478.33,USD,Payroll,Bill Payment - Internet,Debit - Payroll,2022-06-24 22:32:15,2022-06-24,TXN0000000034,Completed,Online,214888.19,54.0
35,424,Credit,5121.01,USD,Subscription,BP,Credit - Subscription,2022-08-13 07:00:52,2022-08-13,TXN0000000035,Completed,ATM,260509.14,
36,388,Debit,6651.73,USD,ATM Withdrawal,BP,Debit - ATM Withdrawal,2024-09-13 12:26:19,2024-09-13,TXN0000000036,Completed,Branch,55588.21,43.0
37,502,Debit,14237.2,USD,Travel,Google Play,Debit - Travel,2022-03-18 00:22:13,2022-03-18,TXN0000000037,Completed,Mobile,46740.13,51.0
38,470,Debit,3058.39,USD,Entertainment,BP,Debit - Entertainment,2023-03-23 03:57:45,2023-03-23,TXN0000000038,Completed,Online,127271.84,
39,543,Credit,8797.68,USD,Healthcare,Best Buy,Credit - Healthcare,2023-04-16 23:57:16,2023-04-16,TXN0000000039,Completed,Wire,259018.19,
40,400,Debit,2407.71,USD,Direct Deposit,Shell,Debit - Direct Deposit,2023-11-12 14:38:37,2023-11-12,TXN0000000040,Completed,Online,193211.33,25.0
41,565,Debit,1648.26,USD,Healthcare,Google Play,Debit - Healthcare,2024-03-21 22:37:23,2024-03-21,TXN0000000041,Completed,Branch,258462.72,
42,414,Credit,945.45,USD,Entertainment,Delta Airlines,Credit - Entertainment,2023-01-10 17:32:54,2023-01-10,TXN0000000042,Completed,Online,227078.81,43.0
43,509,Credit,2237.3,USD,Groceries,Bill Payment - Water,Credit - Groceries,2023-05-24 13:29:13,2023-05-24,TXN0000000043,Completed,Branch,-560.38,13.0
44,112,Debit,10813.49,USD,Travel,Airbnb,Debit - Travel,2023-01-26 04:12:39,2023-01-26,TXN0000000044,Completed,Wire,119988.06,
45,99,Debit,7078.35,USD,ATM Withdrawal,Trader Joe's,Debit - ATM Withdrawal,2023-01-16 09:56:22,2023-01-16,TXN0000000045,Completed,Branch,106421.08,49.0
46,546,Debit,7397.77,USD,Travel,Amazon,Debit - Travel,2024-05-23 17:06:25,2024-05-23,TXN0000000046,Completed,ATM,169112.85,9.0
47,421,Credit,3075.19,USD,Travel,McDonald's,Credit - Travel,2024-04-11 01:31:35,2024-04-11,TXN0000000047,Completed,POS,131825.63,9.0
48,220,Debit,5563.78,USD,Dining,Walmart,Debit - Dining,2023-02-03 09:23:34,2023-02-03,TXN0000000048,Pending,Mobile,35203.52,
49,215,Credit,5112.87,USD,Direct Deposit,Spotify,Credit - Direct Deposit,2024-08-08 08:35:21,2024-08-08,TXN0000000049,Completed,Branch,237120.96,35.0
50,46,Debit,10335.26,USD,Tax,Walmart,Debit - Tax,2022-09-17 11:37:04,2022-09-17,TXN0000000050,Pending,Mobile,244936.69,
51,339,Credit,1331.56,USD,Other,Bill Payment - Internet,Credit - Other,2022-12-23 06:00:47,2022-12-23,TXN0000000051,Completed,Mobile,208610.1,
52,464,Debit,404.46,USD,Entertainment,Bill Payment - Internet,Debit - Entertainment,2024-09-01 07:57:04,2024-09-01,TXN0000000052,Completed,Branch,56955.93,53.0
53,240,Credit,10986.87,USD,ATM Withdrawal,Home Depot,Credit - ATM Withdrawal,2022-11-21 18:43:44,2022-11-21,TXN0000000053,Completed,Mobile,17443.82,29.0
54,138,Credit,1769.03,USD,ATM Withdrawal,Whole Foods,Credit - ATM Withdrawal,2023-07-24 13:25:11,2023-07-24,TXN0000000054,Completed,Mobile,45332.77,5.0
55,486,Debit,115.33,USD,Healthcare,Bill Payment - Electric,Debit - Healthcare,2022-02-24 13:43:22,2022-02-24,TXN0000000055,Completed,Mobile,31665.85,49.0
56,217,Credit,2306.94,USD,Entertainment,Best Buy,Credit - Entertainment,2023-11-07 03:45:02,2023-11-07,TXN0000000056,Completed,Online,79108.17,
57,464,Debit,12431.8,USD,Tax,Bill Payment - Internet,Debit - Tax,2024-10-23 01:50:40,2024-10-23,TXN0000000057,Completed,Mobile,126890.78,
58,286,Debit,3904.17,USD,ATM Withdrawal,Home Depot,Debit - ATM Withdrawal,2022-02-01 02:41:18,2022-02-01,TXN0000000058,Completed,Mobile,231539.98,30.0
59,119,Debit,13512.56,USD,Direct Deposit,Bill Payment - Electric,Debit - Direct Deposit,2024-12-23 19:56:31,2024-12-23,TXN0000000059,Failed,ATM,167579.52,26.0
60,55,Debit,8085.84,USD,Direct Deposit,Apple,Debit - Direct Deposit,2022-07-16 09:32:33,2022-07-16,TXN0000000060,Pending,POS,257349.25,35.0
61,248,Credit,5087.34,USD,Tax,Google Play,Credit - Tax,2022-05-26 07:17:40,2022-05-26,TXN0000000061,Completed,POS,39990.17,12.0
62,438,Debit,12753.82,USD,ATM Withdrawal,Best Buy,Debit - ATM Withdrawal,2022-08-06 00:51:24,2022-08-06,TXN0000000062,Completed,ATM,154904.47,
63,74,Debit,10814.08,USD,Tax,Trader Joe's,Debit - Tax,2022-05-05 12:27:54,2022-05-05,TXN0000000063,Completed,Wire,82169.69,
64,31,Credit,11482.43,USD,Groceries,Amazon,Credit - Groceries,2024-10-29 20:36:09,2024-10-29,TXN0000000064,Pending,Wire,8134.57,21.0
65,84,Credit,10319.66,USD,Rent/Mortgage,The Gym,Credit - Rent/Mortgage,2022-06-02 15:25:14,2022-06-02,TXN0000000065,Completed,POS,193911.86,4.0
66,154,Debit,4693.35,USD,Entertainment,Delta Airlines,Debit - Entertainment,2024-02-22 23:13:51,2024-02-22,TXN0000000066,Completed,Branch,46941.61,35.0
67,553,Debit,4308.47,USD,Investment,BP,Debit - Investment,2022-04-29 23:59:58,2022-04-29,TXN0000000067,Completed,Branch,149926.04,51.0
68,322,Debit,7033.65,USD,Investment,Planet Fitness,Debit - Investment,2023-11-07 06:24:53,2023-11-07,TXN0000000068,Completed,POS,13704.8,
69,252,Debit,5180.94,USD,Insurance,IKEA,Debit - Insurance,2022-05-18 18:32:56,2022-05-18,TXN0000000069,Completed,Branch,158540.6,
70,126,Debit,6195.17,USD,Payroll,Best Buy,Debit - Payroll,2024-03-05 20:54:32,2024-03-05,TXN0000000070,Reversed,Branch,198058.5,
71,175,Debit,10944.27,USD,Tax,Direct Deposit - Employer,Debit - Tax,2022-03-03 04:02:36,2022-03-03,TXN0000000071,Completed,Online,71357.35,
72,364,Credit,11585.72,USD,Investment,Shell,Credit - Investment,2022-10-15 00:35:30,2022-10-15,TXN0000000072,Completed,Branch,240400.11,60.0
73,402,Debit,12523.64,USD,Entertainment,ATM Cash,Debit - Entertainment,2024-05-13 09:28:52,2024-05-13,TXN0000000073,Completed,Branch,187299.1,17.0
74,561,Debit,7477.21,USD,Direct Deposit,Home Depot,Debit - Direct Deposit,2024-03-12 01:19:23,2024-03-12,TXN0000000074,Completed,Online,158024.71,
75,275,Debit,2323.76,USD,Utilities,Zara,Debit - Utilities,2022-08-08 19:32:16,2022-08-08,TXN0000000075,Completed,Branch,217522.87,
76,418,Debit,2379.73,USD,Direct Deposit,Shell,Debit - Direct Deposit,2023-10-15 03:16:03,2023-10-15,TXN0000000076,Completed,Wire,253356.92,28.0
77,107,Debit,14411.64,USD,Payroll,Planet Fitness,Debit - Payroll,2022-05-08 15:27:19,2022-05-08,TXN0000000077,Pending,Mobile,86779.22,
78,161,Debit,14192.18,USD,Healthcare,Target,Debit - Healthcare,2023-03-28 10:47:47,2023-03-28,TXN0000000078,Completed,Online,216058.36,
79,557,Debit,4408.2,USD,Groceries,Uber,Debit - Groceries,2024-11-04 17:36:53,2024-11-04,TXN0000000079,Completed,Branch,122768.68,
80,526,Credit,11580.78,USD,Entertainment,Apple,Credit - Entertainment,2023-07-27 05:53:45,2023-07-27,TXN0000000080,Completed,POS,155142.82,
81,340,Debit,6985.77,USD,Dining,Kroger,Debit - Dining,2024-11-12 12:31:41,2024-11-12,TXN0000000081,Completed,Wire,191363.47,
82,245,Debit,13747.37,USD,ATM Withdrawal,Home Depot,Debit - ATM Withdrawal,2023-07-06 13:43:31,2023-07-06,TXN0000000082,Completed,Branch,175723.59,57.0
83,405,Debit,12100.77,USD,Entertainment,Netflix,Debit - Entertainment,2022-05-20 21:35:30,2022-05-20,TXN0000000083,Completed,Mobile,157389.64,47.0
84,558,Credit,9097.24,USD,ATM Withdrawal,Medical Center,Credit - ATM Withdrawal,2023-01-10 12:43:20,2023-01-10,TXN0000000084,Completed,Wire,58595.04,14.0
85,415,Debit,14991.65,USD,Dining,Target,Debit - Dining,2023-09-24 16:53:46,2023-09-24,TXN0000000085,Completed,ATM,275357.25,
86,336,Debit,1430.52,USD,Investment,Bill Payment - Water,Debit - Investment,2023-09-25 13:25:22,2023-09-25,TXN0000000086,Completed,POS,267438.99,1.0
87,214,Credit,14958.95,USD,Groceries,Netflix,Credit - Groceries,2024-06-29 11:01:46,2024-06-29,TXN0000000087,Completed,Mobile,32716.4,9.0
88,251,Debit,5008.45,USD,Rent/Mortgage,Delta Airlines,Debit - Rent/Mortgage,2023-02-14 22:25:33,2023-02-14,TXN0000000088,Completed,POS,35029.98,
89,4,Debit,5877.03,USD,Healthcare,Starbucks,Debit - Healthcare,2022-07-28 01:08:03,2022-07-28,TXN0000000089,Completed,POS,20344.72,
90,112,Debit,3388.44,USD,Education,Direct Deposit - Employer,Debit - Education,2024-04-03 03:40:33,2024-04-03,TXN0000000090,Completed,ATM,175553.68,
91,200,Debit,12224.38,USD,Transfer,University Tuition,Debit - Transfer,2022-12-01 21:36:49,2022-12-01,TXN0000000091,Completed,Online,21123.97,
92,344,Debit,6274.62,USD,Utilities,Target,Debit - Utilities,2023-02-01 08:34:54,2023-02-01,TXN0000000092,Completed,Wire,87478.46,
93,44,Debit,9457.54,USD,Insurance,ACH Transfer,Debit - Insurance,2023-01-05 04:11:02,2023-01-05,TXN0000000093,Failed,Mobile,130046.75,51.0
94,532,Credit,1748.57,USD,Shopping,Amazon,Credit - Shopping,2023-10-25 13:40:06,2023-10-25,TXN0000000094,Failed,Online,262323.56,4.0
95,370,Debit,5968.06,USD,Utilities,Nike,Debit - Utilities,2022-02-12 08:40:53,2022-02-12,TXN0000000095,Completed,Mobile,20876.5,48.0
96,103,Debit,11514.15,USD,Payroll,Publix,Debit - Payroll,2023-06-14 00:00:19,2023-06-14,TXN0000000096,Completed,Mobile,152231.82,
97,112,Debit,9396.05,USD,Rent/Mortgage,Bill Payment - Water,Debit - Rent/Mortgage,2023-10-22 09:31:16,2023-10-22,TXN0000000097,Completed,Online,185974.78,
98,298,Credit,1738.31,USD,Loan Payment,Walmart,Credit - Loan Payment,2024-05-11 10:24:13,2024-05-11,TXN0000000098,Completed,Mobile,233853.22,
99,244,Debit,12942.64,USD,Tax,Shell,Debit - Tax,2024-04-01 03:55:59,2024-04-01,TXN0000000099,Completed,Online,69357.98,24.0
100,55,Credit,10005.72,USD,Subscription,Amazon,Credit - Subscription,2024-12-09 14:21:55,2024-12-09,TXN0000000100,Completed,ATM,151727.24,37.0
101,297,Debit,8611.74,USD,Groceries,Google Play,Debit - Groceries,2023-12-05 21:05:17,2023-12-05,TXN0000000101,Completed,Online,120259.38,
102,385,Debit,12454.4,USD,Subscription,ATM Cash,Debit - Subscription,2022-05-20 06:34:07,2022-05-20,TXN0000000102,Completed,POS,234842.76,
103,255,Debit,4955.98,USD,Entertainment,Amazon,Debit - Entertainment,2023-04-03 08:18:26,2023-04-03,TXN0000000103,Completed,Branch,170413.94,51.0
104,180,Debit,1626.21,USD,Direct Deposit,BP,Debit - Direct Deposit,2023-04-03 09:12:27,2023-04-03,TXN0000000104,Completed,Mobile,120667.86,36.0
105,418,Credit,14850.35,USD,Rent/Mortgage,Zara,Credit - Rent/Mortgage,2022-08-29 18:50:57,2022-08-29,TXN0000000105,Completed,Mobile,228901.28,58.0
106,453,Debit,11239.4,USD,Loan Payment,Best Buy,Debit - Loan Payment,2024-05-22 12:11:22,2024-05-22,TXN0000000106,Completed,Online,97059.2,
107,250,Debit,9859.23,USD,Tax,Delta Airlines,Debit - Tax,2022-01-28 04:25:12,2022-01-28,TXN0000000107,Completed,Branch,287966.18,57.0
108,146,Debit,5120.75,USD,Tax,Zara,Debit - Tax,2022-08-17 17:35:36,2022-08-17,TXN0000000108,Completed,Branch,162894.63,
109,273,Credit,11754.23,USD,Education,Nike,Credit - Education,2024-06-08 23:45:18,2024-06-08,TXN0000000109,Completed,Wire,20914.05,54.0
110,16,Debit,12131.32,USD,Entertainment,BP,Debit - Entertainment,2024-11-09 22:24:32,2024-11-09,TXN0000000110,Completed,POS,93422.1,22.0
111,258,Debit,11658.5,USD,Education,BP,Debit - Education,2024-04-21 03:23:36,2024-04-21,TXN0000000111,Completed,Branch,254778.83,18.0
112,31,Debit,7176.78,USD,Direct Deposit,Walmart,Debit - Direct Deposit,2022-01-02 12:28:09,2022-01-02,TXN0000000112,Completed,POS,129708.69,
113,65,Credit,1752.64,USD,Education,Home Depot,Credit - Education,2024-02-22 18:43:43,2024-02-22,TXN0000000113,Completed,Wire,57193.2,
114,27,Credit,14180.21,USD,Education,Starbucks,Credit - Education,2024-03-30 22:16:18,2024-03-30,TXN0000000114,Completed,Branch,23111.43,41.0
115,330,Credit,6797.6,USD,Transfer,ATM Cash,Credit - Transfer,2024-09-04 22:50:57,2024-09-04,TXN0000000115,Completed,POS,284776.54,
116,148,Credit,10949.92,USD,Direct Deposit,Airbnb,Credit - Direct Deposit,2024-09-17 07:49:48,2024-09-17,TXN0000000116,Completed,Mobile,131635.51,
117,401,Debit,873.67,USD,Subscription,Zara,Debit - Subscription,2022-08-06 01:31:50,2022-08-06,TXN0000000117,Completed,Mobile,201089.42,39.0
118,353,Credit,8332.41,USD,Utilities,Direct Deposit - Employer,Credit - Utilities,2024-02-04 10:35:52,2024-02-04,TXN0000000118,Pending,ATM,294576.72,37.0
119,270,Credit,5959.79,USD,Investment,Bill Payment - Electric,Credit - Investment,2024-11-14 00:07:10,2024-11-14,TXN0000000119,Completed,Online,58730.21,30.0
120,92,Debit,14312.94,USD,Insurance,CVS,Debit - Insurance,2023-07-10 22:41:37,2023-07-10,TXN0000000120,Completed,Mobile,31722.7,35.0
121,476,Credit,3074.55,USD,Transfer,Netflix,Credit - Transfer,2024-11-19 06:53:28,2024-11-19,TXN0000000121,Completed,Online,-860.2,8.0
122,433,Debit,12377.69,USD,Insurance,Planet Fitness,Debit - Insurance,2022-07-25 14:35:58,2022-07-25,TXN0000000122,Completed,POS,292906.37,25.0
123,195,Debit,6712.89,USD,Tax,Whole Foods,Debit - Tax,2023-04-06 22:49:39,2023-04-06,TXN0000000123,Completed,ATM,217521.98,
124,49,Debit,12961.98,USD,Loan Payment,Target,Debit - Loan Payment,2024-03-03 16:11:35,2024-03-03,TXN0000000124,Reversed,ATM,128779.08,19.0
125,243,Debit,3074.15,USD,Payroll,Zara,Debit - Payroll,2022-06-07 20:29:53,2022-06-07,TXN0000000125,Completed,ATM,278232.87,
126,512,Debit,13727.64,USD,Utilities,CVS,Debit - Utilities,2022-01-22 18:27:42,2022-01-22,TXN0000000126,Completed,Mobile,268174.14,38.0
127,105,Debit,3917.21,USD,Travel,Bill Payment - Internet,Debit - Travel,2022-09-24 14:26:35,2022-09-24,TXN0000000127,Completed,Wire,248753.97,
128,240,Debit,12998.89,USD,Direct Deposit,Apple,Debit - Direct Deposit,2024-04-17 20:47:40,2024-04-17,TXN0000000128,Pending,POS,52342.2,
129,419,Credit,5077.73,USD,Other,Amazon,Credit - Other,2023-11-30 11:54:57,2023-11-30,TXN0000000129,Completed,Wire,176172.09,
130,413,Credit,6804.15,USD,Dining,ACH Transfer,Credit - Dining,2023-09-18 12:13:41,2023-09-18,TXN0000000130,Completed,Mobile,155001.49,52.0
131,16,Debit,11468.28,USD,Education,BP,Debit - Education,2024-04-19 19:47:55,2024-04-19,TXN0000000131,Completed,Online,53315.14,
132,336,Debit,1293.75,USD,Education,IKEA,Debit - Education,2024-11-20 09:31:36,2024-11-20,TXN0000000132,Completed,Branch,161261.43,29.0
133,272,Debit,8541.91,USD,Utilities,Walgreens,Debit - Utilities,2024-03-23 04:47:35,2024-03-23,TXN0000000133,Completed,POS,40761.97,
134,468,Credit,8363.34,USD,Tax,Airbnb,Credit - Tax,2024-11-25 05:39:28,2024-11-25,TXN0000000134,Completed,POS,182297.34,19.0
135,163,Debit,13382.76,USD,Dining,Target,Debit - Dining,2023-05-30 00:09:41,2023-05-30,TXN0000000135,Failed,Wire,218620.67,
136,257,Debit,9725.91,USD,Loan Payment,Kroger,Debit - Loan Payment,2024-07-29 18:18:58,2024-07-29,TXN0000000136,Completed,POS,153173.9,41.0
137,87,Debit,5202.34,USD,Tax,Planet Fitness,Debit - Tax,2024-02-28 10:16:21,2024-02-28,TXN0000000137,Failed,ATM,208279.39,29.0
138,366,Debit,3529.98,USD,Tax,The Gym,Debit - Tax,2023-09-16 22:43:17,2023-09-16,TXN0000000138,Completed,Online,161320.3,43.0
139,27,Debit,4124.23,USD,Utilities,McDonald's,Debit - Utilities,2024-08-11 20:28:55,2024-08-11,TXN0000000139,Completed,Wire,291980.57,
140,394,Debit,12855.5,USD,Other,Wire Transfer,Debit - Other,2023-11-10 00:34:43,2023-11-10,TXN0000000140,Completed,Online,250950.55,
141,529,Debit,7409.11,USD,Dining,Bill Payment - Electric,Debit - Dining,2024-09-26 08:10:23,2024-09-26,TXN0000000141,Completed,POS,-802.96,42.0
142,244,Debit,779.03,USD,Payroll,IKEA,Debit - Payroll,2022-02-16 10:40:08,2022-02-16,TXN0000000142,Completed,Mobile,113662.7,
143,468,Credit,460.48,USD,Entertainment,Airbnb,Credit - Entertainment,2022-09-18 20:29:55,2022-09-18,TXN0000000143,Pending,Online,233292.1,
144,275,Debit,2739.16,USD,Investment,Planet Fitness,Debit - Investment,2023-09-03 18:33:55,2023-09-03,TXN0000000144,Completed,Online,41246.6,
145,191,Debit,9509.6,USD,Shopping,Bill Payment - Electric,Debit - Shopping,2024-11-27 19:40:51,2024-11-27,TXN0000000145,Completed,Branch,236650.06,54.0
146,200,Credit,5103.45,USD,Transfer,Uber,Credit - Transfer,2023-02-10 00:39:34,2023-02-10,TXN0000000146,Completed,Branch,55167.14,
147,495,Debit,13709.39,USD,Insurance,CVS,Debit - Insurance,2023-08-28 09:49:28,2023-08-28,TXN0000000147,Failed,Online,120499.07,38.0
148,228,Debit,7946.58,USD,Healthcare,Best Buy,Debit - Healthcare,2022-06-08 19:03:53,2022-06-08,TXN0000000148,Pending,POS,30969.4,
149,379,Debit,385.86,USD,Rent/Mortgage,Google Play,Debit - Rent/Mortgage,2024-03-17 03:17:55,2024-03-17,TXN0000000149,Failed,POS,96637.28,
150,500,Debit,12373.1,USD,Direct Deposit,Home Depot,Debit - Direct Deposit,2022-01-12 19:26:07,2022-01-12,TXN0000000150,Completed,POS,35113.31,44.0
151,116,Debit,8985.42,USD,Transfer,Home Depot,Debit - Transfer,2022-03-14 20:10:47,2022-03-14,TXN0000000151,Completed,Wire,99418.16,
152,39,Credit,12578.6,USD,ATM Withdrawal,Whole Foods,Credit - ATM Withdrawal,2023-09-05 21:10:21,2023-09-05,TXN0000000152,Completed,Branch,135556.7,
153,208,Credit,3249.72,USD,Transfer,Internal Transfer,Credit - Transfer,2023-07-23 17:34:28,2023-07-23,TXN0000000153,Pending,Mobile,142232.55,55.0
154,244,Debit,6710.46,USD,Insurance,Amazon,Debit - Insurance,2022-03-13 03:15:21,2022-03-13,TXN0000000154,Failed,Branch,285771.91,10.0
155,291,Credit,528.85,USD,Healthcare,Planet Fitness,Credit - Healthcare,2022-10-03 11:08:45,2022-10-03,TXN0000000155,Completed,POS,284340.52,
156,62,Debit,11366.71,USD,Groceries,IKEA,Debit - Groceries,2023-02-27 01:02:24,2023-02-27,TXN0000000156,Completed,POS,157561.71,
157,412,Debit,13352.89,USD,Insurance,Sephora,Debit - Insurance,2024-05-15 21:37:25,2024-05-15,TXN0000000157,Completed,Branch,259074.36,
158,461,Debit,4193.79,USD,Transfer,ACH Transfer,Debit - Transfer,2022-08-03 17:10:48,2022-08-03,TXN0000000158,Completed,POS,100522.89,
159,555,Debit,10993.58,USD,Travel,Trader Joe's,Debit - Travel,2023-07-20 00:04:57,2023-07-20,TXN0000000159,Completed,POS,85697.82,33.0
160,312,Credit,14514.55,USD,Travel,Amazon,Credit - Travel,2023-06-01 04:50:50,2023-06-01,TXN0000000160,Completed,ATM,264629.49,3.0
161,315,Debit,9587.84,USD,Other,Best Buy,Debit - Other,2024-10-02 14:35:10,2024-10-02,TXN0000000161,Completed,Online,38469.5,57.0
162,334,Debit,1039.57,USD,Groceries,Kroger,Debit - Groceries,2023-05-19 06:43:22,2023-05-19,TXN0000000162,Completed,POS,60431.47,
163,187,Credit,4259.36,USD,Loan Payment,ATM Cash,Credit - Loan Payment,2024-03-18 11:53:04,2024-03-18,TXN0000000163,Completed,Mobile,175516.48,
164,148,Debit,14446.47,USD,Direct Deposit,The Gym,Debit - Direct Deposit,2023-10-20 05:16:47,2023-10-20,TXN0000000164,Pending,Mobile,215527.6,
165,154,Credit,1946.92,USD,Investment,CVS,Credit - Investment,2024-12-29 03:15:09,2024-12-29,TXN0000000165,Pending,Branch,61954.39,5.0
166,178,Credit,11055.96,USD,ATM Withdrawal,Shell,Credit - ATM Withdrawal,2022-04-08 17:39:47,2022-04-08,TXN0000000166,Completed,Online,263477.87,42.0
167,313,Credit,885.71,USD,Groceries,ATM Cash,Credit - Groceries,2022-05-20 13:53:14,2022-05-20,TXN0000000167,Completed,Branch,146350.89,
168,354,Credit,7988.16,USD,Rent/Mortgage,ATM Cash,Credit - Rent/Mortgage,2023-09-20 15:09:25,2023-09-20,TXN0000000168,Completed,Wire,136264.27,51.0
169,359,Debit,6964.46,USD,Payroll,Bill Payment - Water,Debit - Payroll,2023-07-19 04:36:27,2023-07-19,TXN0000000169,Completed,Mobile,39835.66,10.0
170,334,Debit,9279.55,USD,Investment,Planet Fitness,Debit - Investment,2024-11-06 11:21:57,2024-11-06,TXN0000000170,Completed,Wire,165693.73,47.0
171,402,Credit,8241.06,USD,Transfer,Spotify,Credit - Transfer,2023-11-14 19:06:32,2023-11-14,TXN0000000171,Completed,Online,18059.9,44.0
172,204,Debit,11808.39,USD,ATM Withdrawal,Medical Center,Debit - ATM Withdrawal,2024-05-26 21:31:12,2024-05-26,TXN0000000172,Failed,ATM,97072.61,12.0
